,Var1,Var2,Var3
"1-1",-0.2529699675853076,-0.6099259561801138,1.1690768074353459
"2-1",0.7738538925507823,0.53833545870087862,-0.14473544583982068
"3-1",-1.9702988486247373,0.84278060879560934,-1.1018538672548361
"4-1",-2.1470163349422009,2.2249088659470972,0.93469334851044839
"5-1",-1.0514982322150752,0.81670899319303869,-0.23381653555399473
"6-1",1.1239063071571673,0.20311985311469671,1.0926347138536829
"7-1",1.1359398467717203,-0.045464362336964048,1.5837693446880365
"8-1",1.2349026535227954,-0.16998883214147997,0.80573257760639971
"9-1",0.93788345989873578,-0.13834743648790526,1.4208752106388829
"10-1",-2.2979418255227859,0.12131713949163539,0.13884167791033281
"11-1",0.063013935038295499,0.36167504456922595,1.0127302323449148
"12-1",-0.51036044739361031,0.70169725712579689,0.81663119147619501
"13-1",-0.22815008770958056,0.26142420236646535,1.5499979410165572
"14-1",-1.8035596584523272,0.59572486493553134,0.17874581180259777
"15-1",-1.2594617495109439,0.69280948647835783,0.43291208134251552
"16-1",-1.7655698288289108,-0.94715196007922653,0.83969844440367525
"17-1",-1.7164750410753469,-2.5273338112776749,0.86926993070049541
"18-1",-0.80099394532446921,-0.21739934092489169,-0.059934786025254982
"19-1",-0.81884467900994828,-1.8775078835863288,-0.4139529476916376
"20-1",-1.9529434850510479,-0.90408551359216827,-0.80085685164960863
"21-1",-1.5149264978220347,-0.7017374127886622,-0.83403163531963465
"22-1",-2.5482083692057218,-0.48282902310148379,-0.093258126215733761
"23-1",-0.10644469142613033,-0.39060331716440094,-1.829090520727285
"24-1",0.16006781280351023,-0.85261134250475545,-0.30864131771432968
"25-1",0.97154581845700427,0.59542424128302274,0.29306453593948173
"26-1",-1.0623206903475062,-0.03053073185898264,-0.201091944648955
"27-1",-2.6693513744171913,-1.0380739912714088,-1.8766661384728047
"28-1",-1.4362673333543983,-0.99324617814471483,-0.73637842295241063
"29-1",-1.2011287569581939,-0.18733622456645416,-0.24823674016473138
"30-1",-0.6895816132040451,-1.1481450121517887,-0.52584392632019217
"31-1",-2.9451202598225148,-1.0877497372615497,1.4909595107520102
"32-1",-1.7242602888739982,-0.74242260771025381,1.1080621891355864
"33-1",0.0018467259543344383,0.081658532184855803,1.2746403631884959
"34-1",-0.93522597084728254,-1.0250153518197438,-0.25728337977814597
"35-1",-0.95303341646548911,-0.81672131007120785,4.3135150055686795
"36-1",-0.11427878129911906,-0.63814010384195363,2.9406460478026473
"37-1",-0.88925477510197803,-1.0764233658067854,-1.1607730945218635
"38-1",-1.1887757150629445,-0.44669507819476245,1.2395514534084862
"39-1",0.5454157316184276,0.32798864198130107,2.2081043419057051
"40-1",-2.2191913458314172,-1.3260372114026213,3.0526726552317038
"41-1",-0.13746821902614104,-0.27281157688355395,2.4995079026708327
"42-1",-0.54138512196371336,0.23186017123472841,1.3833368127941208
"43-1",-0.87377194029820271,-0.82411340359316443,0.15638187431036066
"44-1",-0.60697137381049426,-2.4064376255217432,3.858250535847001
"45-1",0.59587146819918835,-0.33052115023739564,2.1376203162621952
"46-1",-3.9661921803984246,1.3631332758303378,-4.3025113971272679
"47-1",-1.7821396122755031,-1.4345663552917769,-3.9816358592987768
"48-1",1.0300581061421163,0.74943023872631365,-3.4420373449308586
"49-1",-3.1358958491983207,-0.88459339644045243,-2.8471640378981622
"50-1",-2.8847362413696702,0.27998194027048473,-3.2641458589950942
"51-1",-1.464943438198014,-0.82911226270540095,-2.9360324022666777
"52-1",-1.8186374893259365,0.082784911878844403,-4.4885290214631368
"53-1",-1.6652518977431936,-0.66116352251593646,-3.1755070062883979
"54-1",-1.2221177255780775,0.58139990993010371,-4.5752603197455359
"55-1",-1.6580450091369754,-1.0289682651378311,-4.3419312346460419
"56-1",-2.6429876727226356,-1.2042151438091224,-2.691296436075806
"57-1",-2.8356527907079352,-1.7147827891638057,-5.8201277343771736
"58-1",-0.34236201553221912,-0.34329762126698937,-2.841226595344466
"59-1",-1.9120444987637004,-1.0121092321243568,-3.7004966467204246
"60-1",-0.84234424306641587,-0.84256480771935061,-3.1829142806752451
"61-1",-2.2769764467044395,-1.3250597150131691,-4.1327110049958078
"62-1",-1.7202220702782183,-3.3718525292365849,-7.1532315844556491
